Order_ID,Product,Category,Region,Sales,Quantity,Order_Date
1000,Mouse,Accessories,West,3753,4,2023-12-11 00:00:00
1001,Laptop,Electronics,North,70168,5,2023-09-19 00:00:00
1002,Keyboard,Accessories,West,70341,1,2023-01-24 00:00:00
1003,Mouse,Accessories,South,53922,2,2023-11-02 00:00:00
1004,Keyboard,Accessories,West,9820,4,2023-06-10 00:00:00
1005,Tablet,Electronics,North,22983,2,2023-05-10 00:00:00
1006,Tablet,Accessories,West,2946,1,2023-03-02 00:00:00
1007,Printer,Electronics,North,42573,1,2023-08-01 00:00:00
1008,Printer,Accessories,South,37902,2,2023-12-17 00:00:00
1009,Printer,Electronics,West,73745,3,2023-03-05 00:00:00
1010,Printer,Accessories,South,4729,3,2023-06-08 00:00:00
1011,Tablet,Electronics,North,41340,4,2023-09-06 00:00:00
1012,Printer,Accessories,West,16455,4,2023-06-09 00:00:00
1013,Phone,Electronics,South,77265,1,2023-12-29 00:00:00
1014,Tablet,Accessories,West,47460,5,2023-12-29 00:00:00
1015,Keyboard,Electronics,South,22426,4,2023-10-11 00:00:00
1016,Tablet,Electronics,East,14527,5,2023-05-29 00:00:00
1017,Headphones,Accessories,East,28516,5,2023-02-12 00:00:00
1018,Headphones,Accessories,West,15602,2,2023-06-03 00:00:00
1019,Tablet,Accessories,East,10345,3,2023-03-08 00:00:00
1020,Keyboard,Electronics,North,53585,4,2023-04-06 00:00:00
1021,Mouse,Accessories,East,18008,5,2023-08-05 00:00:00
1022,Tablet,Accessories,West,74443,5,2023-06-20 00:00:00
1023,Monitor,Accessories,West,39313,2,2023-07-08 00:00:00
1024,Tablet,Accessories,East,59964,2,2023-01-27 00:00:00
1025,Tablet,Accessories,East,16193,1,2023-02-03 00:00:00
1026,Phone,Electronics,East,24372,2,2023-07-04 00:00:00
1027,Keyboard,Accessories,East,63001,5,2023-08-26 00:00:00
1028,Keyboard,Accessories,East,42351,1,2023-03-31 00:00:00
1029,Keyboard,Electronics,South,34199,2,2023-07-16 00:00:00
1030,Phone,Accessories,South,23728,3,2023-11-17 00:00:00
1031,Printer,Electronics,West,27966,5,2023-08-23 00:00:00
1032,Printer,Electronics,South,6408,2,2023-09-26 00:00:00
1033,Laptop,Accessories,West,2473,2,2023-08-23 00:00:00
1034,Phone,Accessories,North,66404,4,2023-01-17 00:00:00
1035,Laptop,Accessories,South,19758,3,2023-12-03 00:00:00
1036,Phone,Electronics,East,52314,5,2023-12-31 00:00:00
1037,Phone,Electronics,East,63981,1,2023-03-14 00:00:00
1038,Laptop,Electronics,East,11183,5,2023-04-09 00:00:00
1039,Phone,Electronics,North,4789,5,2023-03-14 00:00:00
1040,Monitor,Electronics,East,56010,4,2023-03-17 00:00:00
1041,Headphones,Electronics,North,28513,3,2023-08-25 00:00:00
1042,Keyboard,Accessories,South,57412,1,2023-10-14 00:00:00
1043,Printer,Accessories,North,26812,3,2023-12-05 00:00:00
1044,Mouse,Electronics,South,46365,3,2023-06-19 00:00:00
1045,Laptop,Accessories,West,76463,4,2023-11-08 00:00:00
1046,Monitor,Accessories,South,58402,4,2023-02-10 00:00:00
1047,Tablet,Electronics,North,47665,3,2023-05-03 00:00:00
1048,Printer,Electronics,South,13531,4,2023-03-09 00:00:00
1049,Keyboard,Accessories,North,18934,4,2023-04-17 00:00:00
1050,Laptop,Accessories,North,4041,5,2023-09-16 00:00:00
1051,Mouse,Accessories,East,35893,2,2023-06-25 00:00:00
1052,Keyboard,Accessories,West,56049,5,2023-04-27 00:00:00
1053,Mouse,Electronics,South,19292,5,2023-02-25 00:00:00
1054,Headphones,Electronics,North,56009,5,2023-08-21 00:00:00
1055,Headphones,Electronics,North,26982,2,2023-08-29 00:00:00
1056,Laptop,Accessories,East,17204,1,2023-06-21 00:00:00
1057,Mouse,Accessories,West,35731,1,2023-01-21 00:00:00
1058,Mouse,Accessories,South,27784,2,2023-07-20 00:00:00
1059,Mouse,Electronics,North,79693,2,2023-10-08 00:00:00
1060,Tablet,Electronics,North,43544,1,2023-06-05 00:00:00
1061,Tablet,Electronics,South,76715,3,2023-09-05 00:00:00
1062,Laptop,Accessories,North,11233,2,2023-08-08 00:00:00
1063,Printer,Electronics,North,34204,1,2023-03-12 00:00:00
1064,Laptop,Accessories,East,56616,3,2023-01-10 00:00:00
1065,Headphones,Accessories,South,67048,3,2023-10-17 00:00:00
1066,Tablet,Electronics,South,70575,2,2023-02-12 00:00:00
1067,Monitor,Electronics,South,39505,1,2023-08-02 00:00:00
1068,Tablet,Electronics,East,73223,2,2023-12-08 00:00:00
1069,Monitor,Accessories,West,16739,1,2023-10-19 00:00:00
1070,Phone,Accessories,West,33301,2,2023-04-24 00:00:00
1071,Monitor,Electronics,East,76788,4,2023-11-13 00:00:00
1072,Printer,Accessories,West,61737,3,2023-03-27 00:00:00
1073,Keyboard,Electronics,West,43468,1,2023-09-22 00:00:00
1074,Mouse,Accessories,East,23697,5,2023-09-11 00:00:00
1075,Printer,Electronics,North,42008,1,2023-11-17 00:00:00
1076,Monitor,Accessories,West,72679,2,2023-06-24 00:00:00
1077,Monitor,Accessories,North,79529,4,2023-10-14 00:00:00
1078,Laptop,Accessories,West,49543,3,2023-07-04 00:00:00
1079,Mouse,Electronics,South,50639,3,2023-03-08 00:00:00
1080,Headphones,Accessories,South,44885,5,2023-02-21 00:00:00
1081,Tablet,Accessories,East,31593,4,2023-04-30 00:00:00
1082,Keyboard,Accessories,North,29934,5,2023-12-05 00:00:00
1083,Tablet,Electronics,South,51375,5,2023-10-29 00:00:00
1084,Monitor,Accessories,East,56414,4,2023-12-30 00:00:00
1085,Keyboard,Accessories,West,16108,1,2023-04-29 00:00:00
1086,Mouse,Accessories,South,8127,5,2023-10-07 00:00:00
1087,Keyboard,Electronics,North,31221,3,2023-04-19 00:00:00
1088,Monitor,Electronics,South,7191,2,2023-07-10 00:00:00
1089,Phone,Accessories,East,78750,1,2023-01-12 00:00:00
1090,Tablet,Electronics,North,74020,5,2023-08-31 00:00:00
1091,Laptop,Electronics,West,6274,2,2023-08-21 00:00:00
1092,Monitor,Electronics,North,31739,3,2023-04-15 00:00:00
1093,Laptop,Electronics,West,6751,4,2023-03-03 00:00:00
1094,Printer,Electronics,East,2153,1,2023-08-08 00:00:00
1095,Mouse,Electronics,East,10709,3,2023-01-30 00:00:00
1096,Monitor,Electronics,South,24430,1,2023-10-08 00:00:00
1097,Keyboard,Electronics,West,58428,2,2023-12-06 00:00:00
1098,Tablet,Electronics,South,40456,4,2023-06-17 00:00:00
1099,Laptop,Accessories,South,10064,4,2023-11-01 00:00:00
1100,Printer,Accessories,South,70912,3,2023-07-09 00:00:00
1101,Headphones,Electronics,South,61723,3,2023-12-08 00:00:00
1102,Tablet,Electronics,West,49050,2,2024-01-01 00:00:00
1103,Headphones,Electronics,West,32068,5,2023-08-23 00:00:00
1104,Monitor,Accessories,South,10009,2,2023-04-15 00:00:00
1105,Phone,Accessories,North,62785,3,2023-09-04 00:00:00
1106,Laptop,Accessories,North,73379,5,2023-05-14 00:00:00
1107,Keyboard,Accessories,North,58509,3,2023-01-31 00:00:00
1108,Headphones,Electronics,West,20311,2,2023-05-31 00:00:00
1109,Mouse,Accessories,East,48191,5,2023-10-06 00:00:00
1110,Headphones,Accessories,South,70077,3,2023-08-14 00:00:00
1111,Laptop,Electronics,South,41690,4,2023-03-31 00:00:00
1112,Mouse,Electronics,West,44333,3,2023-01-01 00:00:00
1113,Tablet,Electronics,North,36634,5,2023-06-20 00:00:00
1114,Laptop,Accessories,South,15489,2,2023-08-18 00:00:00
1115,Keyboard,Accessories,North,13221,3,2023-09-28 00:00:00
1116,Tablet,Electronics,West,28058,1,2023-07-05 00:00:00
1117,Laptop,Electronics,West,15251,1,2023-03-28 00:00:00
1118,Monitor,Accessories,North,3307,5,2023-05-12 00:00:00
1119,Monitor,Accessories,West,21448,1,2023-02-04 00:00:00
1120,Mouse,Electronics,East,10481,4,2023-07-09 00:00:00
1121,Monitor,Accessories,South,6376,4,2023-04-27 00:00:00
1122,Phone,Accessories,East,57034,2,2023-05-01 00:00:00
1123,Printer,Accessories,East,3468,3,2023-08-10 00:00:00
1124,Mouse,Electronics,East,37995,1,2023-05-16 00:00:00
1125,Mouse,Electronics,North,55030,3,2023-06-09 00:00:00
1126,Printer,Electronics,West,35898,2,2023-08-12 00:00:00
